codigo,descripcion
A02-011,Explotación extensiva de ganado bovino
A05-011,Doctores y Licenciados en Ciencias Biológicas
A04-011,Directores de cine y teatro
A02-012,Explotación intensiva de ganado bovino de leche
A05-012,Ingenieros Agrónomos y de Montes
A04-012,Ayudantes de dirección
A02-013,Explotación intensiva de ganado bovino de cebo
A05-013,Veterinarios
A04-013,Actores de cine y teatro
A04-014,"Extras especializados, dobles, comparsas y meritorios"
A04-015,"Operadores de cámaras de cine, de television y video"
A04-016,"Humoristas, caricatos, excentricos, charlistas, recitadores, ilusionistas, etc."
A04-017,Apuntadores y regidores
A04-018,Artistas de circo
A04-019,"Otras actividades relacionadas con el cine,  el teatro y el circo, no clasificadas en otras partes"
A02-021,Explotación extensiva de ganado ovino
A05-021,"Técnicos en Biología, Agronomía y Silvicultura"
A04-021,Directores coreográficos
A02-022,Explotación intensiva de ganado ovino de cría
A05-022,Ingenieros Técnicos Agrícolas  e Ingenieros Técnicos Forestales
A04-022,Bailarines
A02-023,Explotación intensiva de ganado ovino de cebo
A05-023,Ingenieros Técnicos Topógrafos
A02-024,Explotación de ganado caprino
A05-024,"Auxiliares y Ayudantes en Veterinaria (Sexadores de pollos, Castradores,etc.)."
A04-029,"Otras actividades relacionadas con el baile,  no clasificadas en otras partes"
A02-031,Explotación extensiva de ganado porcino
A04-031,Maestros y Directores de música
A02-032,Explotación intensiva de ganado porcino de cría
A04-032,Intérpretes de instrumentos musicales
A02-033,Explotación intensiva de ganado porcino de cebo
A04-033,Cantantes
A04-034,"Compositores, letristas, arreglistas y adaptadores musicales"
A04-039,"Otras actividades relacionadas con la  música,  no clasificadas en otras partes"
A04-041,Jugadores y entrenadores de futbol
A04-042,"Jugadores, entrenadores y preparadores de tenis y  de golf"
A04-043,"Pilotos, entrenadores y preparadores de  motociclismo y automovilismo"
A04-044,"Boxeadores, entrenadores y preparadores de boxeo"
A04-045,"Jugadores, entrenadores y preparadores de baloncesto"
A04-046,"Corredores, entrenadores y preparadores de ciclismo"
A04-047,"Jugadores, entrenadores y preparadores de balonmano, voleibol, pelota y otros deportistas de la hipica, lucha, etc."
A04-048,Árbitros de espectáculos deportivos
A04-049,"Otras actividades relacionadas con el deporte, no clasificadas en otras partes"
A02-051,Cunicultura
A04-051,Matadores de toros
A04-052,Rejoneadores
A04-053,Subalternos
A04-054,Jefes de cuadrillas cómicas y similares
A04-055,Otro personal cuadrillas cómicas y similares
A04-059,"Otras actividades relacionadas con espectáculos taurinos,  no clasificados en otras partes"
A02-061,"Explotaciones de ganado caballar, mular y asnal"
A02-062,Apicultura
A02-069,Otras explotaciones ganaderas
A02-071,Explotaciones mixtas
A05-099,"Otro profesionales relacionados con la agricultura, ganadería, caza, silvicultura y pesca no clasificados en otras partes"
A05-111,"Doctores y Licenciados en Ciencias  Físicas, en Ciencias Geofísicas y en Ciencias Geológicas, Ingenieros de Minas."
A05-112,Ingenieros de Minas
A03-114,Fabricación de coque
A05-121,Doctores y Licenciados en Ciencias Químicas
A03-124,Extracción de pizarras bituminosas
A03-130,Refino de petróleo
A05-131,"Ingenieros Técnicos de Minas,  Facultativos y Peritos"
A03-141,Extracción y preparación de minerales radiactivos
A03-142,Preparación de minerales radiactivos en factoría independiente o fuera del perímetro de la concesión o explotación minera
A03-152,"Fabricación, distribución y comercialización de gas"
A03-153,Producción y distribución de vapor y agua caliente
A03-162,Fabricación de hielo para la venta
A05-199,"Otros profesionales relacionados con las actividades propias de la  energía, agua,  minería e industria química no clasificados en otras partes"
A05-211,Ingenieros Aeronáuticos
A05-212,Ingenieros Navales
