id,compania,ramo,tipo_comision,porcentaje,vigencia_desde,vigencia_hasta,notas,origen_archivo
8aafc8cc77191dd4a70ba4a5d1dc073f,PELAYO,Autos (varios),Nueva producción,10.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Varias modalidades en cuadro de comisiones","30784700 FINCAS VELAZQUEZ, SL.pdf"
bc94bea9763350d16e6f8ce1f0c297a0,PELAYO,Autos (varios),Cartera,10.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Varias modalidades en cuadro de comisiones","30784700 FINCAS VELAZQUEZ, SL.pdf"
67c7db5cb132e253c963eeae51b93f40,PELAYO,Autos (segmento),Nueva producción,6.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=media; condiciones=Fila específica del cuadro","30784700 FINCAS VELAZQUEZ, SL.pdf"
1f2af5afd5847c00547b03911090f9c2,PELAYO,Autos (segmento),Cartera,6.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=media; condiciones=Fila específica del cuadro","30784700 FINCAS VELAZQUEZ, SL.pdf"
ac7d672821d4381c5946387a46d24cb4,PELAYO,Autos (segmento),Nueva producción,8.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=media; condiciones=Fila específica del cuadro","30784700 FINCAS VELAZQUEZ, SL.pdf"
0c537adc9001ab0ad23236e7c40fe2c4,PELAYO,Autos (segmento),Cartera,8.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=media; condiciones=Fila específica del cuadro","30784700 FINCAS VELAZQUEZ, SL.pdf"
0c4fc18f64d9d17a93e4bb0ffb23f6cd,PELAYO,Hogar Plus/Premium,Nueva producción,22.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Pisos","30784700 FINCAS VELAZQUEZ, SL.pdf"
f07afc223f816af78fc0ad42cda97a37,PELAYO,Hogar Plus/Premium,Cartera,22.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Pisos","30784700 FINCAS VELAZQUEZ, SL.pdf"
d67c3fcf2d645ee727df23d0c272ddb7,PELAYO,Hogar Plus/Premium,Nueva producción,20.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Unifamiliares","30784700 FINCAS VELAZQUEZ, SL.pdf"
610e3235af72e420f846f4b4b508eea8,PELAYO,Hogar Plus/Premium,Cartera,20.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Unifamiliares","30784700 FINCAS VELAZQUEZ, SL.pdf"
f50f5fe1e05f8c7921678d532f5468da,PELAYO,Accidentes,Nueva producción,25.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Accidentes","30784700 FINCAS VELAZQUEZ, SL.pdf"
e0b053876a4dc360b951dfd05accfa75,PELAYO,Accidentes,Cartera,25.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Accidentes","30784700 FINCAS VELAZQUEZ, SL.pdf"
171717530c23ed679e5f3bb55f56876c,PELAYO,Accidentes Convenio,Nueva producción,15.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Convenio","30784700 FINCAS VELAZQUEZ, SL.pdf"
b8c0bcca4009401bfb53467512a5e030,PELAYO,Accidentes Convenio,Cartera,15.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Convenio","30784700 FINCAS VELAZQUEZ, SL.pdf"
54816b9e5d2afcc1f7563b565f62d882,PELAYO,Oficinas,Nueva producción,20.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=media; condiciones=Ramo oficinas","30784700 FINCAS VELAZQUEZ, SL.pdf"
